en,ta
statutory penalty,நியதிச்சட்ட தண்டம்
contingencies fund,எதிர்பாராநிகழ்வு நிதியம்
furnishing a land as bail,காணியைப் பிணையாக வைத்தல்
emotional difficulty,மனவெழுச்சி இடர்பாடுகள்
educational goal,கல்வி இலக்கு
mortal (a),இறக்கும்
transformation,உருமாற்றம்
tabulation,நிரற்படுத்தல்
optimistic (a),நன்னம்பிக்கையுள்ள
assitant registrar-general,உதவி பதிவாளர் தலைமையதிபதி
notice of action,வழக்குத் தொடர்தல் விடயமான அறிவிப்பு
accommodation,இடவசதி
amount,தொகை
several,பல
Herbartian steps,ஹேபத்தியன் படிமுறை
cretinism,குறள்படுதன்மை
action research,செயல்நிலை ஆய்வு
press officer,பத்திரிகை அலுவலர்
normative information,நெறிசார்ந்த தகவல்
annuitant,ஆட்டையாளர்
court of requests,கோரிக்கை நீதிமன்றம்
mercenary,கூலிப்படையின்
favourable response,உகந்த துலங்கல்
arrest,கைது செய்
narcotics,போதைப்பொருள்
stigmatization,குற்றச்சாட்டு
detainer,வலுக்கட்டுநர்
disposal of the case,வழக்கு முடிப்பு
writ application,ஆணை விண்ணப்பம்
contradictory,மறுதலிப்பான
annual,ஆண்டுக்குரிய
tenant,வாடகையாளர்
new communication ecology,புதிய தொடர்பாடல் சூழலியல்
quantum of damages,சேதத் தொகை
bail application,பிணைவிடு விண்ணப்பம்
assess,மதிப்பிடு
syndrome,துணையறிகுறி
cliffhanging,ஓங்கல்தூக்கிலிடல்
disparity,தாரதம்மியம்
non-summary proceedings,சுருக்கமுறையற்ற வழக்கு நடவடிக்கைகள்
management effectiveness,முகாமைத்துவ ஆற்றல்வாய்மை
uncontrollable impulse,கட்டுப்படுத்தவியலாத உந்தல்
dissension,இணக்கமின்மை
departmental appropriation (votes) ledger,திணைக்கள ஒதுக்கீட்டுப் (வாக்குகள்) பேரேடு
individualism,தனியாள்மயம்
obsolescent,வலுவழிந்த
concentration of the mind,மன ஒருமுகப்படுத்தல்
ultimative burden,இறுதிச் சுமை
apology,மன்னிப்பு
mass culture,பொதுமக்கள் பண்பாடு
intimacy,நெருக்கமான உறவு
management efficiency,முகாமைத்துவச் செயல்திறன்
astraphobia,மின்னல் இடி அச்சம்
law reform,சட்ட மீள்சீரமைப்பு
market,திறந்த சந்தை
chief executive officer,பிரதம நிறைவேற்று அலுவலர்
advance tracing,சுவடு வரைபடம்
resonance,ஒத்திசை
necessary heir,தேவையான வாரிசு
democratization of communication,தொடர்பாடலின் ஜனநாயகத்தன்மை
assume,மேற்கொள்
social justice,சமுதாய நீதி
privilege,சிறப்புரிமை
educational television,கல்விசார் தொலைக்காட்சி
registerd proprietor,பதிவு செய்யப்பட்ட வியாபார உரிமையாளர்
open response variety,திறந்த துலங்கற் பல்வகைமை
additive,சேர்க்கும்
facsimile,உருவ நேர்படி
maturity,முதிர்வு
nominal scale,பெயரளவிலான அளவிடை
paternal support,பிதாவழி ஆதரவு
secular,இகஞ்சார்
pension,ஓய்வூதியம்
revoke,கைமீட்டு
unity,ஒற்றுமை
adduce,முன்வை
direct broadcasting by satellite,செய்மதியினால் நேரடி ஒலிபரப்பு
social disparities,சமூக பாகுபாடுகள்
dominant owner,தலையாய சொந்தக்காரன்
security on property,சொத்துப் பிணை
enrolment ratio,சேர்வு விகிதம்
frame,சட்டகம்
consortium,மண உறவு
precedent partner,முன்னுறு பங்காளி
presented by banks for collection,வங்கிகளினால் சேகரிப்புக்கு அனுப்பப்பட்டவை
condemn (v),மரணதண்டனைத் தீர்ப்பளி
sexual intercourse,உடற்புணர்ச்சி
information exchange,தகவல் பரிமாற்றம்
temporary voucher,தற்காலிக பணவுறுதிச் சீட்டு
noxious,தீதுறு
class observation,வகுப்பறை அவதானம்
cost-benefit approach,செலவு பயன் அணுகுமுறை
elation,உயர்பெருமையடைதல்
colour etching,வர்ண செதுக்குருவம்
learning method,கற்கும் முறை
suspend payment,கொடுப்பனவை இடைநிறுத்தல்
demeanour,நடத்தைப்பாங்கு
media conversion,ஊடக மாற்றல்
commercial exploitation,வணிகச் சுரண்டல்
dangerous,அபாயகரமான
period novel,காலஅளவு நாவல்
capacity building,ஆற்றலைக் கட்டமைத்தல்
positivism,நேர்வு வாதம்
mobilize,புழக்கத்திற்குக் கொண்டுவா
pollicitation,அளியுறுதி
endorsement,மேலெழுத்து
unpaid seller,விலைக்கொள்ளா விற்போன்
advancement,முன்னேற்றம்
liquid assets,திரவச் சொத்துக்கள்
eye,கண்
breeding,வளர்ப்பு
statutory scale,நியதிச்சட்ட  அளவு
territorium nullius,சர்வதேச சட்டத்தில் நீதிமன்ற அதிகார விடயமல்லாத
canvass,வாக்காதரவு நாடு
double jeopardy,ஒரு குற்ற இரு வழக்கு
civil status,குடியியல் நிலைமை
archaeological  site,தொல்பொருளமைவிடம்
mutual,பரஸ்பர
local education authority,உள்ளூர் கல்வி அதிகாரசபை
deliberately,உள்நோக்கத்துடன்
attempted rape,வன்புணர்ச்சி முயல்வு
neurosis,நரம்புநோய்
rank difference,தர வேறுபாடு
news imbalances,செய்தி சமமின்மைகள்
lazy (a),சோம்பலான
speculative,ஊகம்
defalcation,பணக் கையாடல்
complicity,குற்றத்துணைமை
suspending power,இடைநிறுத்து வலு
folk arts,கிராமியக்கலைகள்
pardonable,மன்னிக்கத்தக்க
benefit-cost ratio,நன்மை-செலவு விகிதம்
scouting,சாரணர் வேலை
public,பொதுமக்கள்
supplementary special law warrant,பிற்சேர்ப்பு விசேடச் சட்ட ஆணைச் சீட்டு
waiting time,காத்திருக்கும் நேரம்
practice,பயிற்சி செய்
squatting,சேரிகளில் குடியிருத்தல்
norm referenced tests,நியம மாட்டேற்றுச் சோதனைகள்
nature,இயற்கை
to have and to hold,உடைமையில் வைத்திருத்தல்
lecture mode,விரிவுரைப் பாணி
undeclared assets,வெளிப்படுத்தப்படாத சொத்துக்கள்
lodger,உறைவோன்
part,பகுதி
lassitude,அக்கறையின்மை
charter a ship,கப்பலை வாடகைக்கமர்த்தல்
adverse party,எதிர் கட்சிக்காரர்
fitness test,பொருத்த சோதிப்புச் சோதனை
valuation,விலைமதிப்பீடு
incidental errors,தற்செயல் வழுக்கள்
fair copy,செம்மைப்படி
equalization,சமத்துவமாக்கல்
background,பின்னணி
multiple images,பல் விம்பங்கள்
realm,ஆட்சி
scale of salary,சம்பள அளவுத் திட்டம்
assessment,வரிவிதிப்பு மதிப்பீடு
back cloth,பின் துணி
testimonial,சான்றுப்பத்திரம்
mystery,கடன்
expose,அம்பலப்படுத்து
comment,விளக்கக் குறிப்பு
media selection,ஊடகத் தெரிவு
technological logic,தொழில்நுட்ப மாறா நியதி
refund,மீளளி
decoy,பார்வல்
superintendant,அத்தியட்சகர்
communication for community,சனசமூகத்திற்கான தொடர்பாடல்
ideal norms,இலட்சிய நியமங்கள்
cognitive domain,அறிகை ஆட்சி
efficiency,வினைத்திறன்
precocity,தகுந்த வயதிற்குமுன் முதிர்வுறல்
charitable intention,அறஞ்சார் முன்னம்
availability standard,கிடைக்கத்தகு நியமம்
visualizer,காண்பியவாக்கி
rehabilitation,மறுசீரமைப்பு
innate intelligence,இயல்பார்ந்த நுண்ணறிவு
learning phase,கற்றற் படிநிலை
printed forms,அச்சிட்ட படிவங்கள்
waivers,கைவிடுதல்கள்
total,மொத்தம்
professional self-regulation,வாழ்க்கைத் தொழில் சுய-ஒழுங்குவிதி
deadline,காலக்கெடு
adduced evidence,அணைக்கப்பட்ட சான்று
edit,செம்மைசெய்
provident fund,சேமலாப நிதி
vexatious,அலைக்கும்
voucher,பண உறுதிப்பத்திரம்
analysis,பகுப்பு
tidal waters,நீர் வற்றுப்பெருக்கு
politics of identity,அடையாளத்தின் அரசியல்
programme of work,பணி நிகழ்ச்சித் திட்டம்
accommodation,தன்னமைவு
rank,தரம்
infrastructure,உள்கட்டமைப்பு
penalty,குற்றப்பணம்
deposit note,வைப்புக் குறிப்பு
inattention,கவனக்குறைவு
policy outcome,கொள்கை விளைவு
deadly weapon,கொடிய ஆயுதம்
natural selection,இயற்கைத் தேர்வு
educational change,கல்விசார் மாற்றம்
verbal play,வாய்மொழி விளையாட்டு
institutional communication,நிறுவனசார் தொடர்பாடல்
open form question,திறந்த வகை வினா
depth psychology,ஆழவுளவியல்
theocracy,சமயகுரவராட்சி
forestry,வனவியல்
group leadership,குழுத் தலைமை
depth perception,ஆழ புலனுணர்வு
mining school,சுரங்கப் பாடசாலை
disinherison,வழியுரிமை ஒழித்தல்
letters of land grant,காணி நன்கொடைப் பத்திரம்
elope,கரந்தோடு
blended learning,இணைப்புக் கற்கை
revenue,வருவாய்
formative evaluation,அமைப்பு மதிப்பீடு
ethics,ஒழுக்கவியல் பத்திரிகைத்தொழில்
disparage,இழித்துரை
consecutive meeting,தொடர் கூட்டம்
metes and bounds,எல்லை அடையாளங்களும் எல்லைகளும்
supposition,தற்கோள்
land resumption ordinance,காணி மீள எடுத்தல் கட்டளைச்சட்டம்
president,ஜனாதிபதி
deposit,வைப்பில் இடு
technological innovation,தொழில்நுட்ப புதுமை புகுத்தல்
prevocational,தொழிலுக்கு முந்திய
loan board,கடன் சபை
skimming,மேலோட்டமான
jazz journalism,ஆரவார இசைக்கூத்து பத்திரிகைத்தொழில்
no-pay leave,சம்பளமில்லா விடுப்பு
process of law,சட்ட நடைமுறை
criticism,திறனாய்வு
re-settlement,மீள்குடியிருப்பு
competition,போட்டி
centre for advanced study,உயர்கற்கை மையம்
land reform law,காணி சீர்த்திருத்தச் சட்டம்
factor theories of intelligence,நுண்மதிக் காரணிக் கொள்கைகள்
devisee,விருப்பாவணக்கொடை பெறுநர்
philosophy,மெய்யியல்
motivation factors,ஊக்கப்படுத்தற் காரணிகள்
completion,நிறைவு
newspaper,செய்திப்பத்திரிகை
wage war,போர் தொடு
non-access,அணுகலின்மை
effective date,செயற்படு திகதி
home situation,வீட்டுச்சூழல்
poetic or prosaic,கவிதை சார்ந்த அல்லது உரைநடை சார்ந்த
subsidiary legislation,துணை சட்டவாக்கம்
mart,அங்காடி
resolution,தீர்மானம்
trade dispute,தொழிற் பிரச்சினை
Categorical syllogism,வகைக்குரிய  நியாயத்தொடர்
overdraw,மேலதிகமாகப் பற்று
agreement,உடன்படிக்கை
proliferate,விரைந்து பெருக்கு
apportion,பங்கீட்டளி
patentable,ஆக்கவுரிமை பெறத்தகு
quandary,குழப்பநிலை
environmental damage,சூழல் சேதம்
halo effect,பரிவேட விளைவு
legislative sovereignty,சட்டவாக்க இறைமை
establishment,தாபனம்
ecology,சூழலியல்
certificate of purchase,கொள்வனவுச் சான்றிதழ்
manipulation of teacher,ஆசிரியரைப் பயன்படுத்தல்
distributive share,பகிரக்கூடிய பங்கு
liaison officer,இணைப்பு அதிகாரி
numerical strength,என்முறையான வழு
financial management initiative,நிதி முகாமைத்துவ முன்னெடுப்பு
discontinuance,தொடர்பறுப்பு
penalty,தண்டம்
donations,நன்கொடைகள்
accelerate,துரிதப்படுத்து
responsibility in mass communication,வெகுசன தொடர்பாடலில் பொறுப்பு
woman-juror,பெண் யூரர்
purchase ledger,கொள்முதல் பேரேடு
circulation director,சுற்று விநியோக இயக்குநர்
cell,கூடம்
ratio decidendi,தீர்மானத்தின் சாரம்
promissory note,வாக்குறுதிப் பத்திரம்
absolute duty,பூரண தீர்வை
connoisseurship,கலைப்பண்பறிஞரின் திறன்
warm clothing allowance,அணியடுக்குப் படிகள்
symmetrical,சமச்சீரான
news print,செய்தித்தாள்
re-deployment,மீளப் பணிக்கமர்த்தல்
statutory rules and orders,நியதிச்சட்ட விதி மற்றும் கட்டளை
synchronous learning,ஏககால கற்றல்
disqualify,தகுதியின்மையாக்கு
internal efficiency,உள்ளக வினைத்திறன்
economic rationality,பொருளாதார அறிவுடைமை
railway warrant,புகையிரத ஆணைச்சீட்டு
deterrent punishment,அச்சுறுத்தும் தண்டனை
opinion,அபிப்பிராயம்
dissimilarity,இயல்பொவ்வாமை
appellate court,மேன்முறையீட்டு நீதிமன்றம்
stepmother,மாற்றாந்தாய்
system,முறைமை
unlawful manufacture,சட்டவிரோத உற்பத்தி
conciliation boards act,இணக்கச் சபைகள் சட்டம்
constructive possession,ஆக்கபூர்வ உடைமை
final phase,இறுதிக் கட்டம்
testimony,சான்று
biological development,உயிரியல்சார் விருத்தி
lack,பற்றாக்குறை
representative,பிரதிநிதி
factual journalism,உண்மையான பத்திரிகைத்தொழில்
loss of earnings,உழைப்பிழப்பு
land case,காணி வழக்கு
propensity,நாட்டம்
constitutional council,அரசியலமைப்பு சபை
recruitment,ஆட்சேர்ப்பு
author proof,ஆக்கியோன் பார்வை படி
intercorrelation,இடைத்தொடர்பு
moral panic,ஒழுக்கப் பீதி
exclusive (a),நீங்கலாக
final discharge,இறுதி பொறுப்பு நிறைவேற்றம்
effectual in law,சட்டத்தில் பயனுடைத்தானது
lapse of time,காலம் கடந்து போதல்
chancellor,வேந்தர்ப்பிரபு
unconditional transfer,நிபந்தனையற்ற மாற்றீடு
ambient noise,சூழ்  இரைச்சல்
motive,உள்நோக்கம்
vocational guidance,தொழில் வழிகாட்டல்
create,உருவாக்கு
authorised version,அதிகாரம் பெற்ற பதிப்புரு
mass rally,வெகுசனப் பேரணி
catharsis,அகத்தூய்மைப்பேறு
autobiography,சுய சரிதை
intellectualism,நுண்ணறிவு வாதம்
unregisterd decision,அறிக்கையிடாத் தீர்மானம்
kinaesthetic sense,அசைவுணர்ச்சி
summary,தொகுப்பு
substantive sentence,தகுந்த தண்டனைத் தீர்ப்பு
resumption,மறு தொடக்கம்
score,எதிராக
vexation,அலைக்கழிப்பு
constant (a),நிலையான
act of honour,கௌரவச் செயல்
motor reproduction process,மோட்டார் மீளுற்பத்தி செய்முறை
appealable,மேன்முறையிடத்தகு
repatriate,தாய் நாட்டுக்குத் திருப்பியனுப்பு
local currency,உள்ளூர் நாணயம்
collate,ஆய்தொகு
Winnetka technique,வினெட்டெகா தொழில்நுட்பம்
catalyst,திருப்புமுனை
journalism,பத்திரிகைத் தொழில்
characterization,இயல்புகூறல்
international educational agency,சர்வதேசக் கல்வி முகவர்
monthy statement,மாதாந்த கூற்று
political justice,அரசியல் நீதி
derived quantities,வழிவந்த அளவுகள்
collation,ஆய்தொகுப்பு
law of effect,விளைவு விதி
legal effect,சட்ட விளைவு
benefit of a contract,ஒப்பந்தப் பயன்
defalcate,கையாடு
reorientation,மீள திசைமுகப்பாடு
digital cross-links,இலக்கமுறை கலப்பு-இணைப்புக்கள்
interview,நேர்முகப் பரீட்சை
repeal,சட்ட நீக்கம்
apprenticeship,தொழிற் பயிற்சி
freedom of speech,பேச்சுச் சுதந்திரம்
scuttle,மூழ்கடி
evidence on commission,ஆணையின் மீதான சான்று
storage instantaneous audiometer,உடனடிக்கேலொலிமானியை சேமித்துவைத்தல்
under lessee,குத்தகைதாரரின் கீழ்
sufficient ground,போதிய காரணம்
composite goods,பலவின் ஆக்கம் சார்ந்த பொருட்கள்
cultural colonialism,கலாசார காலனித்துவம்
communication as common property of all mankind,சகல மனிதஇனத்தின் பொதுச் சொத்தாக தொடர்பாடல்
oblique line,சாய் கோடு
privy,உடன்கை
multimedia conference,பல்லூடக மகாநாடு
emotional maturity,மனவெழுச்சிப் பக்குவம்
progress of education,கல்வி முன்னேற்றம்
activity drive,செயற்படு உந்தல்
deterioration,தரமிழப்பு
patria potetas,தந்தையாதிக்கம்
capital expenditure,மூலதனச் செலவினம்
information paradox,தகவல் முரணுரை
efficiency,வினைத்திறன்
impulsive (a),உணர்ச்சிகளுக்கு உட்படுகிற
transferor,மாற்றுபவர்
hegemonism,முதன்மையான செல்வாக்குத்தன்மை
feeling,உணர்வு
plan,திட்டம்
self-defence,தற்காப்பு
parental (protective) propensity,பெற்றோர் நாட்டம்
committal order,பாரப்படுத்தற் கட்டளை
statute of Frauds,மோசடி நியதிச் சட்டம்
diplomatic immunity,இராசதந்திர விடுபாட்டுரிமை
convergent,ஒருங்கும்
trainee,பயிலுனர்
balance report,இருப்புநிலை அறிக்கை
current international consultation,நடப்பு சர்வதேச ஆலோசனை
gossip,அரட்டை
non-governmental organization,அரசசார்பற்ற ஒழுங்கமைப்பு
character trait,குணப்பாங்குகள்
individual training plan,தனியாள் பயிற்சித்திட்டம்
specific legacy,குறித்த விருப்ப ஆவணமூலமாகக் கொடுக்கப்படும் பணம் அல்லது பொருள்
shadow,உருநிழல்
officer-in-charge,பொறுப்பு அலுவலர்
conditional contract,நிபந்தனையுடன் கூடிய ஒப்பந்தம்
environmental analysis,சூழல் பகுப்பாய்வு
legal document,சட்டபூர்வ ஆவணம்
misstatement,பிறழ் கூற்று
unsound,சீர்கேடான
vesting,உரிமையாக்கல்
massification,வெகுசனமயமாக்கல்
speech pathology,பேச்சு நோயியல்
hard-hitting journalism,கடுமையாகத் தாக்கும் பத்திரிகைத்தொழில்
distribution systems,பங்கீட்டு விநியோக முறைமைகள்
unconventional,பாரம்பரியம்சாரா
terminal education,முடிவிடக் கல்வி
small let,சிறு காணித் துண்டுகள்
team spirit,குழுவுணர்ச்சி
ostensible,நேர்தெரிநிலை வெளித்தோற்றமான
accuracy,துல்லியம்
school leaver,பள்ளிவிட்டகலுநர்
authority for ordering transfers,சேவை இடமாற்றக் கட்டளையிடும் அதிகாரி
promulgation,வெளிப்படுத்தல்
disabled,ஊனமுற்ற
occupant,குடியிருப்பாளர்
chatter,அரட்டையடிப்பவர்
splinter skill,பிளவுறு திறன்
travel grant,பிரயாணக் கொடைகள்
message,தூதுரை
address for service,சேவைக்கான முகவரி
shortage,தட்டுப்பாடு
exploitation,சுரண்டல்
record of evidence,சாட்சிப் பதிவேடு
residential area,வாழ்விடப் பிரதேசம்
break of service,பணி இடைமுறிவு
employment bureau,வேலைவாய்ப்புப் பணியகம்
malversation,பதவி
subject matter,விடயத் தலைப்பு
abdication,துறத்தல்
newsletter,செய்திமடல்
aviation,வானூர்தியியல்
supporting application,உறுதிப்படுத்தும் வேண்டுகோள்
retributative,ஈடுகட்டும்
layout,திட்டம்
racial consciousness,இனவுணர்வு
due and owing,வருமதியானதும் செலுத்தற்குரியதும்
cable television,கம்பி தொலைக்காட்சி
leave to apprentices and trainees,தொழில் பழகுநருக்கும் பயிலுநருக்குமான லீவு
medium of instruction,பயிற்றுமொழி
framing of national culture,தேசிய கலாசாரத்தின் சட்டகப்படுத்தல்
ability,திறமை
imperialist,ஏகாதிபத்தியவாதி
agree,உடன்படு
occupational choice,தொழிற் தெரிவு
martial law,படைச் சட்டம்
investment plans,முதலீட்டுத் திட்டங்கள்
satellite,செய்தி அறிக்கையிடலில் செய்மதி
filmology,திரைப்படவியல்
functionalism,அகச்செயல்வாதம்
relevancy,இயைபு
digital speech,இலக்கமுறை பேச்சு
abandon,கைவிடு
social responsibility,சமூக பொறுப்பு
negligent act,அலட்சியற் செயற்பாடு
negativistic personality disorder,எதிர்மறையான ஆளுமைப் பிறழ்வு
street betting,தெருப்பந்தயம்
case method,விடயமுறை
quash the conviction,குற்றத்தீர்ப்பை நீக்கு
composure,மன அமைதி
malicious desertion,தீயநோக்குடைய கைவிடல்
honorarium,மதிப்பூதியம்
colour design,வர்ண வடிவமைப்பு
advertising journalism,விளம்பரஞ்செய்தல் பத்திரிகைத் தொழில்
logically defective,தருக்கமுறைக் குறைபாடு
depreciation charge,தேய்மானக் கட்டணம்
attribute,பண்பு
maximum wages,உச்சக் கூலிகள்
dormant partner,செயற்படாப் பங்காளி
consequence,விளைவு
mortgage,அடமானம்
intergroup development,குழுக்களிடையேயான விருத்தி
mortgage decree,ஈட்டு வழக்குத் தீர்ப்புப் பிரகடனம்
acquire,உரிமை பெறு
Vedic,வேத
specimen,மாதிரி
estate duty,மரணச்சொத்து வரி
misbehaviour,துர்நடத்தை
erroneous,தவறுதலான
archaic (a),தொன்மையான
local land advisory committee,உள்ளூர் காணி ஆலோசனைக் குழு
pitch advertising,ஸ்தாயி விளம்பரஞ்செய்தல்
psychoanalytic theory,உள ஆய்வுக் கோட்பாடு
military instruction,படைத்துறைப் போதனை
disbelief,அவநம்பிக்கை
majoritorianism,பெரும்பான்மைவாதம்
disqualification for appointment,நியமிப்புசார் தகைமைக்கேடு
domestic violence,குடும்ப வன்முறை
need based aid,தேவை அடிப்படையிலான உதவி
ink-blot test,மைத்தடச் சோதனை
hierarchical (a),படி நிலையமைப்புக்குரிய
corrective instruction,திருத்துகின்ற போதனை
casting,பாத்திரவார்ப்பு
officer public relations,பொதுத்தொடர்பலுவலர்
unfettered right,எதிர்ப்பாரா உரித்து
advertising,விளம்பரம்
unconteted election,போட்டியில்லாத்  தேர்தல்
commanding officer,கட்டளையிடும் அதிகாரி
moderator,மட்டுப்படுத்துநர்
penetration,ஊடுருவல்
overtime,மேலதிக வேலை நேரம்
long life membership,ஆயுட்கால உறுப்புரிமை
conceptualizing,எண்ணக்கருவாக்கல்
project plan,செயற்திட்ட திட்டம்
sessional,அமர்வுக்கால
concurrent validity,செல்லுபடித் தகவு
iconic stage,உளப்படவடிவ படிநிலை
post-culturalism,பின் கலாசாரவாதம்
group activity,கூட்டுச் செயற்பாடு
fundamental rules,அடிப்படை விதிகள்
ecclesiastical body,திருக்கோயில்சார் அமைப்பு
film library,திரைப்பட நூலகம்
legal code,சட்டநெறிக் கோவை
efficacy,செயற்பாட்டுத் திறன்
comprehensive,விரிவான
human rights,மனித உரிமைகள்
remittance,பணம்செலுத்துகை
abandoned goods,கைவிடப்பட்ட பண்டங்கள்
pie charts,வட்ட விளக்கப்படம்
academic planning meeting,கல்விசார் திட்டமிடற் சந்திப்பு
temporary,தற்காலிக
test consistency,சோதனை இசைவு
reconstitution,மாற்றியமைத்தல்
convergence,பல்தரப்பட்ட ஊடக செயற்பாட்டை ஒருங்கிணைத்தல்
commercial media,​விளம்பர ஊடகம்
endocrinology,அகஞ்சுரப்பியல்
composite lesson plan,கூட்டு பாடத்திட்டம்
privilage leave,உரிமை விடுப்பு
right of way,வழியுரிமை
commercialization,வர்த்தகமயப்படுத்தல்
misconduct,துர்நடத்தை
variable error,மாறுபடும் வழு
verbal reasoning,வாய்மொழி நியாயிப்பு
assurance,உறுதி
common property,பொதுச் சொத்து
administrative head,ஆட்சித்தலைவர்
focalization,குவியப்படுத்தல்
code,சட்டக்கோவை
separation anxiety disorder,பிரிவுப் பதகளிப்பு
industrious (a),செயலூக்கமுள்ள
technical infringement,தொழில்நுட்ப மீறுகை
incoming accountant,உள்வரும் கணக்காளர்
prime number,முதன்மை எண்
evangelical movement,சமயநெறி பரப்பும் இயக்கம்
enumeration form,கணக்கெடுப்புப் படிவம்
trachoma,கண்ணிமையரிப்பு
batta,செலவுப் படி
tutela,பொறுப்பாளர்
innovation,புத்தாக்கம்
stamps vault,முத்திரைக்கான நிலவறை
due diligence,தக்க விழிப்பு
synonym,ஒரு பொருட் பன்மொழி
matching (a),பொருந்தும்
advanced placement program,உயர் தகுதித்தேர்வு நிகழ்ச்சி
low telecommunication rates,தாழ் தொலைதொடர்பு கட்டணங்கள்
controlled item,கட்டுப்படுத்தப்பட்ட விடயம்
slick magazine,திறம்பட்ட இதழ்
administer an oath,சத்தியம் எடுத்தோதுவி
habitual image,பழகிப்போன படிமம்
per cent,சதவீத
disequilibrium,சமநிலையின்மை
reduce in status,தரக் குறைப்பு செய்தல்
solemnities,சடங்குகள்
appearance and reality,வெளித்தோற்றமும் மெய்மையும்
fraud,மோசடி
portray,உருவப்படமெழுது
colour blind,நிறக்குருடு
literal contract,எழுத்து உடன்படிக்கை
general manager of railways,திணைக்கள முகாமையாளர் அதிபர்
right of ownership,சொத்துவ உரிமை
truancy,மட்டம் போடுதல்
pseudo-event,போலியான - நிகழ்வு
source,மூலம்
objective correlates,நோக்க இடைத்தொடர்புகள்
accustom,பழக்கப்படுத்து
ownership,உடைமை
adoptive parent,மகவேற்கும் பெற்றார்
payee,பணம் பெறுநர்
unjust,நியாயமற்ற செல்வமீட்டல்
hypothetical proposition,கருத்து எடுகோள்
estate in remainder,எஞ்சிய மரணச்சொத்து
prosecute,குற்றவழக்குத்தொடு
Apartheid,இன ஒதுக்கல்
till rent,உண்டியல் வரி
disciplinary action,ஒழுக்காற்று நடவடிக்கை
linguistic unity,மொழிசார் ஒற்றுமை
marginal land,ஓரத்தில் அமைந்த காணிகள்
handicapped children,ஊனமுற்ற பிள்ளைகள்
focus,குவியம்
writing,எழுத்து
graphical representation,வரைபு முன்வைப்பு
remote controlled camera,தொலைவு கட்டுப்பாட்டிலான கமரா
direct mail questionnaire,நேரடி தபால் மூல வினாக்கொத்து
circumcision,சுன்னத்து வினைமுறை
on-screen and off screen space,திரையிலும்- திரைக்கு வெளியிலும் உள்ள இடைவெளி
excerpts,பிரித்தெடுபகுதி
demonstrate,தொடுத்துக் காட்டு
amorous,மோகங்கொண்டுள்ள
scientific,அறிவியல்சார்
private secretary,அணுக்கச் செயலாளர்
pop journalism,பத்திரிகைத்தொழில்
administrative,ஆட்சிமுறைசார்
narration,கதைப்படுத்துதல்
championship,சம்பியன்ஷிப்
kinesthesia,அசையுணர்வு
discussion and dialogue programmes,கலந்துரையாடலும் உரையாடலும் நிகழ்ச்சி
educational function,கல்விசார் செயற்பாடு
ballat,சரளை
social personality,சமூக ஆளுமை
still,தனிப்படம்
state counsel,அரச வழக்கறிஞர்
exploration stage,கண்டுபிடித்தற் கட்டம்
feudalism,நிலமானிய முறை
regimentation,அணிவகுப்பு
allowances for Scholarships,புலமைப் பரிசில்களுக்கான உதவிப்படி
lords of appeal,மேன்முறையீட்டு நீதிமன்ற நீதிபதிகள்
wonder,அதிசயம்
nurture,வளர்ப்பு
consignment account,ஒப்படைக் கணக்கு
legal technicalities,சட்ட நுட்பங்கள்
original,மூலப்படிவம்
climax,உச்சக்கட்டம்
operant (a),தொழிற்படு
blotting,கறைப்படுத்தல்
delay,தாமதம்
skill,திறன்
cultivation analysis,பயிர்ச்செய்கைபகுப்பாய்வு
indirect cost,மறைமுகச் செலவு
ordinate,குத்தாயம்
meaning-making,அர்த்தபுஷ்டியான
celebrity,பிரமுகர்
mapping out forest reserves,வன ஒதுக்கீடுகளை படமாக்கல்
executorship,நிறைவேற்றுதல்
subsequent instrument,பின்வரும் சட்டபூர்வ ஆவணம்
usage,வழக்காறு
indicate (v),குறிப்பிடு
examination on oath,சத்தியத்தின் மீதான விசாரணை
transmission of culture,பண்பாட்டுப் பரப்புகை
agenda,நிகழ்ச்சி நிரல்
psychical force,மனவலிமை
collective representation,கூட்டுப் பிரதிநிதித்துவம்
concept,எண்ணக்கரு
plagiarism,எழுத்துத் திருட்டு
domestic servant,வீட்டுப் பணியாள்
time immemorial,நினைவுக் கெட்டாத
deed of settlement,இணங்கல் உறுதி
bailor,ஒப்படை தருநர்
reputation,மதிப்பு
default,தவணை தவறல்
institutional surveillance,நிறுவனசார் மேற்பார்வை
method of teaching,கற்பித்தல் முறை
demo,செய்துகாட்டல்
actual,உள்ளமையான
presence,சமுகமளிப்பு
literature search,இலக்கியவழித் தேடல்
formulism,சூத்திரக்கோட்பாடு
philosophy,மெய்யியல்
blush,கன்றுதல்
comprehension,கிரகிப்பு
divisible interest,பிரிதகு அக்கறை
oral method,வாய்ப்பேச்சு முறை
chromatic sensation,நிறப் புலனுணர்வு
epiphenomenon,மிகக்கூடிய இயல்நிகழ்வு
normal curve,செவ்வன் வளையி
boundary wall,எல்லைச் சுவர்
affirmative judgment,உடன்படு தீர்ப்பு
state a case,வழக்கெடுத்துரை
denial,நிராகரித்தல்
legal currency,சட்ட நாணயம்
sworn translator,உத்தரவுபெற்ற மொழிபெயர்ப்பாளர்
accounting procedure,கணக்கீட்டு நடைமுறை
recontextualization,மீள்சூழிசைவுச்சார்பு
main circuit,பிரதான சுற்று
